UI_ID,AgeCat,Breeder,Disperser,Coat
UI1848,A,FALSE,FALSE,Unknown
UI1849,A,FALSE,FALSE,Unknown
UI1850,Y/A,FALSE,FALSE,Unknown
UI1854,Y/A,FALSE,FALSE,Gray
UI1856,A,FALSE,FALSE,Black
UI1857,Y,FALSE,FALSE,Gray
UI1859,A,FALSE,FALSE,Black
UI1860,A,FALSE,FALSE,Black
UI1861,A,FALSE,FALSE,Gray
UI1862,Y/A,FALSE,FALSE,Gray
UI1864,A,FALSE,TRUE,Gray
UI1865,A,FALSE,FALSE,Gray
UI1867,A,FALSE,FALSE,Black
UI1868,Y,FALSE,FALSE,Gray
UI1869,A,FALSE,FALSE,Gray
UI1870,A,FALSE,FALSE,Black
UI1873,A,FALSE,FALSE,Gray
UI1874,A,FALSE,FALSE,Black
UI1875,A,FALSE,FALSE,Gray
UI1876,Y/A,FALSE,FALSE,Gray
UI1878,A,FALSE,FALSE,Gray
UI1880,A,FALSE,FALSE,Gray
UI1882,A,FALSE,FALSE,Unknown
UI1883,Y,FALSE,FALSE,Black
UI1887,A,FALSE,FALSE,Gray
UI1889,Y/A,FALSE,FALSE,Gray
UI1890,Y/A,FALSE,FALSE,Gray
